Customer_ID,Name,Age,Gender,City,Income,Purchase_Amount,Purchase_Date,Category
C001,Rahul,22.0,Male,Delhi,50000,2500.0,2026-01-05,Electronics
C002,Priya,25.0,Female,Delhi,45000,1800.0,2026-01-05,Fashion
C003,Aman,27.0,Male,Noida,55000,3200.0,2026-01-07,Electronics
C004,Sneha,29.0,Female,Noida,60000,2500.0,2026-01-08,Beauty
C005,Rohan,31.0,Male,Gurgaon,65000,4100.0,2026-01-09,Grocery
C006,Anjali,24.0,Female,Delhi,52000,2100.0,2026-01-10,Fashion
C007,Vikas,27.0,Male,Delhi,52000,2900.0,2026-01-11,Electronics
C008,Neha,26.0,Female,Noida,48000,1750.0,2026-01-12,Beauty
C009,Karan,35.0,Male,Gurgaon,70000,5000.0,2026-01-13,Electronics
C010,Pooja,23.0,Female,Delhi,42000,1600.0,2026-01-14,Fashion
C011,Arjun,30.0,Male,Noida,58000,3500.0,2026-01-15,Grocery
C012,Meera,28.0,Female,Delhi,51000,2300.0,2026-01-16,Beauty
C013,Ishita,32.0,Female,Gurgaon,62000,3900.0,2026-01-18,Fashion
C014,Mohit,21.0,Male,Noida,39000,1200.0,2026-01-19,Grocery
