Customer_ID,Name,Age,Gender,City,Income,Purchase_Amount,Purchase_Date,Category
C001,Rahul,22.0,Male,Delhi,50000,2500.0,2026-01-05,Electronics
C002,Priya,25.0,Female,delhi,45000,1800.0,05/01/2026,Fashion
C003,Aman,,M,Noida,"55,000",3200.0,2026/01/07,Electronics
C004,Sneha,29.0,female,NOIDA,60000,,08-01-2026,Beauty
C005,Rohan,31.0,Male,Gurgaon,65000,4100.0,2026-01-09,Grocery
C006,Anjali,24.0,F,Delhi,,2100.0,10/01/2026,Fashion
C007,Vikas,27.0,Male,delhi,52000,2900.0,2026-01-11,Electronics
C008,Neha,26.0,Female,Noida,"48,000",1750.0,12-01-2026,Beauty
C009,Karan,35.0,M,Gurgaon,70000,5000.0,2026/01/13,Electronics
C010,Pooja,23.0,Female,Delhi,42000,1600.0,14/01/2026,Fashion
C011,Arjun,30.0,male,NOIDA,58000,3500.0,2026-01-15,Grocery
C012,Meera,28.0,F,delhi,51000,2300.0,16-01-2026,Beauty
C007,Vikas,27.0,Male,delhi,52000,2900.0,2026-01-11,Electronics
C013,Ishita,32.0,Female,Gurgaon,62000,3900.0,2026/01/18,Fashion
C014,Mohit,21.0,M,Noida,39000,1200.0,19/01/2026,Grocery
